word,meaning,hint,survey_num
食,food,food,
饭,rice,rice,
水,water,water,
汤,soup,soup,
蛋,egg,egg,
奶,milk,mlik,
菠,spinach,spinach,
茶,tea,tea,
饺,dumpling,dumpling,
面,noodle,noodle,
薯,potato,potato,
果,fruit,fruit,
酱,sauce,sauce,
粥,porridge,porridge,
糕,cake,cake,
狗,dog,dog,
猫,cat,cat,
马,horse,horse,
鸭,duck,duck,
龟,turtle,turtle,
猪,pig,pig,
牛,cow,cow,
虎,tiger,tiger,
狮,lion,lion,
象,elephant,elephant,
日,sun,sun,
月,moon,moon,
海,sea,sea,
山,mountain,mountain.
河,river,river,
树,tree,tree,
风,wind,wind,
云,cloud,cloud,
花,flower,flower,
草,grass,grass,
雨,rain,rain,
地,ground,ground,
崖,cliff,cliff,
泥,mud,mud,
天,sky,sky,
家,home,home,
站,station,station,
厅,hall,hall,
校,school,school,
院,yard,yard,
桌,table,table,
椅,chair,chair,
盒,box,box,
灯,light,light,
书,book,book,
碗,bowl,bowl,
纸,paper,paper,
车,car,car,
袋,pack,pack,
衣,clothes,clothes,
红,red,red,
绿,green,green,
蓝,blue,blue,
黑,black,black,
黄,yellow,yellow,
紫,purple, purple,
白,white,white,
橙,orange,orange,
褐,brown,brown,
粉,pink,pink,
